backend,batch_size,batches,graphs,compute_mean_ms_per_graph,compute_p50_ms_per_graph,compute_p99_ms_per_graph,transfer_mean_ms_per_graph,e2e_mean_ms_per_graph,e2e_p50_ms_per_graph,e2e_p99_ms_per_graph,graph_mean_ms_per_graph,forward_mean_ms_per_graph,throughput_mean_graphs_per_s,throughput_p50_graphs_per_s,throughput_p99_graphs_per_s,nodes_per_s_mean,e2e_mean_ms,e2e_p50_ms,e2e_p99_ms
cpu_compile,1,16378,16378,0.831251647148614,0.8262315,1.09260753,0.0,0.831251647148614,0.8262315,1.09260753,0.1087009808279399,0.7182283635364514,1215.3544501964338,1210.3145425988914,1405.5099842662592,44835.14095948395,0.831251647148614,0.8262315,1.09260753
cpu_compile,2,8186,16372,0.473131491998534,0.4654807499999999,0.6061718999999998,0.0,0.473131491998534,0.4654807499999999,0.6061718999999998,0.0812191429269484,0.4091884801490348,2129.464199727918,2148.3165546015325,2598.917368871763,79499.0811722923,0.946262983997068,0.9309614999999998,1.2123437999999995
cpu_compile,4,4090,16360,0.268802378606357,0.265974375,0.3329633274999999,0.0,0.268802378606357,0.265974375,0.3329633274999999,0.0582053894254278,0.235779866992665,3745.4782122590855,3759.760691252763,4390.341027807766,140825.87386445305,1.075209514425428,1.0638975,1.3318533099999996
cpu_compile,8,2042,16336,0.146014443437806,0.13859,0.2813323924999998,0.0,0.146014443437806,0.13859,0.2813323924999998,0.0537376140426052,0.1215641780729676,7108.835091166608,7215.527855328359,8933.730881367637,268274.8027653059,1.168115547502448,1.10872,2.2506591399999984
cpu_eager,1,16378,16378,1.2860768497985102,1.262842,1.6848291399999993,0.0,1.2860768497985102,1.262842,1.6848291399999993,0.1100238516302356,1.1755969584808892,783.3682875859149,791.8646988305957,862.0268009527618,29156.79337656891,1.2860768497985102,1.262842,1.6848291399999993
cpu_eager,2,8186,16372,0.7009813019179086,0.6839427499999999,0.8580698999999998,0.0,0.7009813019179086,0.6839427499999999,0.8580698999999998,0.0798548414976789,0.6407874872953824,1435.0627836988224,1462.110681103957,1627.5997711821865,53699.73833535124,1.4019626038358173,1.3678854999999999,1.7161397999999997
cpu_eager,4,4090,16360,0.3905061622860635,0.3915957499999999,0.4503573125,0.0,0.3905061622860635,0.3915957499999999,0.4503573125,0.0573735763447432,0.359621110391198,2571.635583905956,2553.653863836153,2961.275027156905,96940.45137194551,1.562024649144254,1.5663829999999996,1.80142925
cpu_eager,8,2042,16336,0.2503239841454456,0.2421493125,0.41213119625,0.0,0.2503239841454456,0.2421493125,0.41213119625,0.0536392533667972,0.2249822067213516,4089.3314658666022,4129.683517253212,5059.777156470197,154982.91539827676,2.002591873163565,1.9371945,3.29704957
gpu_compile,1,16378,16378,0.8641729334068831,0.8622879981994629,0.8969353672862053,0.0782329759439176,0.9424059093508008,0.9407359845936298,0.9752860843762756,0.2944690985933796,0.6243781325384467,1061.6635622791146,1062.9975002305991,1084.8057906292324,40463.764512553214,0.9424059093508008,0.9407359845936298,0.9752860843762756
gpu_compile,2,8186,16372,0.4326980687685141,0.4311679936945438,0.4515431888401507,0.0395334180491806,0.4722314868176949,0.4708160124719143,0.4915840013884008,0.1563660374210249,0.3146112234441569,2119.3477425694623,2123.9719412891745,2160.697103658912,80781.96163199027,0.9444629736353898,0.9416320249438286,0.9831680027768016
gpu_compile,4,4090,16360,0.2166880393268718,0.2160640060901641,0.2255270432308316,0.0203462708991903,0.2370343102260622,0.2364800008945167,0.2463580833189188,0.0780574063672558,0.157516942772568,4221.274733364052,4228.687399430685,4301.806490751441,160831.97074958292,0.9481372409042488,0.9459200035780668,0.9854323332756753
gpu_compile,8,2042,16336,0.1086662508899402,0.1084159966558218,0.1135277976095675,0.0107658021555652,0.1194320530455055,0.1191519971471279,0.124131802022457,0.0392636904505744,0.0790194260881416,8375.694754891609,8392.641533026153,8541.804532702436,319217.94853915327,0.955456424364044,0.9532159771770232,0.993054416179656
gpu_eager,1,16378,16378,1.510130308614879,1.5082560405135157,1.6076799482107162,0.0730271007586349,1.583157409373514,1.581088034436107,1.6811666747182608,0.2915911594070726,1.2731291772914843,631.7465538360979,632.4758509456742,637.8852645848016,24060.70587160503,1.583157409373514,1.581088034436107,1.6811666747182608
gpu_eager,2,8186,16372,0.7411318215904014,0.7383199818432331,0.7895040024071932,0.0367884290136802,0.7779202506040817,0.7750879982486367,0.8283944210968911,0.1520560103594426,0.626900070305707,1285.8117962409317,1290.1760861470786,1300.492974654028,48974.09159805559,1.5558405012081633,1.5501759964972734,1.6567888421937822
gpu_eager,4,4090,16360,0.3817229325147596,0.3791919928044081,0.4150024043023586,0.0197335139408816,0.4014564464556413,0.3989519942551851,0.4347651236038655,0.0778829732704862,0.3228018565035099,2492.4137877147987,2506.5672421739077,2533.05890415219,94878.47950159828,1.6058257858225653,1.5958079770207405,1.739060494415462
gpu_eager,8,2042,16336,0.1941873047685106,0.1909919967874884,0.2101743625104427,0.0104935298743132,0.2046808346428239,0.2015239996835588,0.220720036313869,0.0390407248590794,0.1646243898484429,4892.404942228898,4962.1881362208005,5021.024011538731,186180.18939721127,1.6374466771425913,1.6121919974684704,1.765760290510952
